idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
9618981,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,28,1.3859978,0.08049645390070923,0.9500392156862745,1.0,0.0,0.005658439602878092,5.948150674292882e-05,0.051843155870513004
9961348,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,29,0.08999079,0.3557142857142857,0.9500256805341551,1.0,0.0,0.011784920930592168,0.00019412392327328198,0.07659149045769882
1066528,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,0,-0.57034135,0.031159420289855074,0.9500651890482399,4.0,-0.10022011529777626,-0.04483047272354047,-0.09987329721342444,0.35505722800360184
1360686,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,1,-0.7060978,0.05042735042735043,0.9499799438427597,4.0,-0.12071479093820636,-0.0512947882194268,-0.11934598729020579,0.4440224944952551
1449548,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,2,-0.4120645,0.1560897435897436,0.9500393081761006,4.0,-0.12128424404975106,-0.05090652233084567,-0.11971094620545858,0.464759273581381
1455390,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,3,0.577927,0.4095238095238095,0.949980864906238,4.0,-0.13658372784451472,-0.04979629052077037,-0.13287277197759836,0.4759554198918303
1818471,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,4,-0.654065,0.6933333333333334,0.9499648382559776,4.0,-0.15773338804878193,-0.04726177386089106,-0.15384161322592887,0.49845605890510425
2598705,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,5,-0.41065842,0.15833333333333333,0.9499643112062812,4.0,-0.17374755595319605,-0.047307044718828184,-0.16679348916312475,0.45692299621615695
2638030,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,6,-0.41306847,0.14065040650406505,0.950060606060606,4.0,-0.1523542527552118,-0.050972973631124546,-0.1479071106063507,0.5374047872839125
3509524,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,7,0.8519753,0.4861635220125786,0.9499540863177227,4.0,-0.08586515265121193,-0.041795538400252574,-0.08586515265121193,0.3143336200803934
3997827,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,8,-0.56151557,0.41333333333333333,0.9500178635226867,4.0,-0.13956212304976856,-0.048821833783302224,-0.12947119323420636,0.4466464635077633
4018081,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,9,-0.6458446,0.09222222222222222,0.9499602227525855,4.0,-0.13552161347853864,-0.051104273115968706,-0.13541045558585968,0.49166763478294384
4314139,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,10,-0.17180082,0.49006410256410254,0.9499416569428238,4.0,-0.15251025714238878,-0.05111756631646962,-0.146809869368902,0.4951532135134981
4426783,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,11,-0.46970558,0.1957142857142857,0.9499816648331499,4.0,-0.13764182110581374,-0.05063546829718958,-0.12933995382499705,0.46413054803463066
46343,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,12,0.3799181,0.4623015873015873,0.9500355366027008,4.0,-0.13446918403744346,-0.04939790725568088,-0.134458377607111,0.4737357958616629
5132496,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,13,-0.81315625,0.11616161616161616,0.9500386697602475,4.0,-0.10201286047901632,-0.045796037161589316,-0.1018876520530682,0.3430706777447
5383425,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,14,0.71451885,0.475,0.9499108734402852,4.0,-0.06359657632200558,-0.03787889733351767,-0.06359657632200558,0.263806206426322
5498603,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,15,-0.23727861,0.36386292834890965,0.9500261643118786,4.0,-0.17113463147148913,-0.04877935850244532,-0.17007315863017008,0.5090261096568451
5797046,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,16,-0.61153233,0.08270042194092828,0.9499805975941017,4.0,-0.14029854783618587,-0.04824696975618608,-0.12925060732397298,0.4306852723760176
6220552,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,17,-0.80181015,0.18269230769230768,0.95,4.0,-0.17774156608910588,-0.05004705496234288,-0.16925974987890868,0.5747586174904619
759667,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,18,-0.36014274,0.35185185185185186,0.9500730994152047,4.0,-0.09180147369899495,-0.044377850249546325,-0.0917848533496782,0.31958650896098023
781756,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,19,-0.84294605,0.3172690763052209,0.9499070977331847,4.0,-0.19569237962166508,-0.04875662436391331,-0.18634064462834207,0.5929809906844189
8000685,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,20,-0.35688338,0.1484848484848485,0.95,4.0,-0.12859697183978483,-0.0457888503609663,-0.12450090453977224,0.38767992788965955
8173033,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,21,-0.07280432,0.6252873563218391,0.95,4.0,-0.1474516873057486,-0.05152679527165663,-0.14247902525656528,0.4785132349131557
8258170,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,22,0.13874197,0.3101754385964912,0.9500380517503805,4.0,-0.07992042087934013,-0.0399835699961638,-0.07992042087934013,0.30798565393921357
844359,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,23,-0.59440774,0.2584229390681004,0.9499585406301824,4.0,-0.15100235354323535,-0.05161444945166229,-0.14901903655202198,0.5435028958311117
8530312,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,24,-0.78516847,0.2012820512820513,0.9499041043344841,4.0,-0.17850330367180645,-0.049444740058457115,-0.17335658983461585,0.5901570562322768
8686948,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,25,-0.3330563,0.4925170068027211,0.9500735835172921,4.0,-0.13955828392046074,-0.050381993183874374,-0.13638222663103172,0.4686552788561843
8692923,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,26,-0.5192701,0.04727272727272727,0.950020202020202,4.0,-0.14781339575915856,-0.05092099211997128,-0.14024028504075725,0.5116318259884457
9106476,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,27,-0.4692119,0.13869731800766283,0.9500190912562047,4.0,-0.12136726325942743,-0.04751028905888363,-0.11824219484836312,0.40151681565726177
9618981,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,28,-0.46750316,0.0726950354609929,0.9500392156862745,4.0,-0.10914439835366455,-0.04799298342242248,-0.10799707263805099,0.3736954652189847
9961348,76d77bb2ac662165c22094594130634a8a4f5828,1743186795,29,-0.7936635,0.37047619047619046,0.9500256805341551,4.0,-0.15386649895202337,-0.052018666746358654,-0.15133197465501624,0.5545661663377756
1066528,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,0,-0.7485795,0.027355072463768115,0.9499782703172533,4.0,-0.11253577929735507,-0.04867149116834129,-0.11208989125812005,0.37492524206265027
1360686,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,1,-1.1348338,0.035897435897435895,0.9499398315282792,4.0,-0.12498565241119158,-0.053038617918204946,-0.12349757393886973,0.45081436594823876
1449548,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,2,-0.5419697,0.1362179487179487,0.9499606918238994,4.0,-0.1259547020068036,-0.05304723146490403,-0.12423115949070601,0.4729199704491676
1455390,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,3,0.63786167,0.40753968253968254,0.9499425947187141,4.0,-0.14300759319110476,-0.05193947715755479,-0.138928717335261,0.48675562010149254
1818471,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,4,-0.8283126,0.7266666666666667,0.9499648382559776,4.0,-0.16869044217884435,-0.04970920689161096,-0.16431183074653483,0.518527165736455
2598705,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,5,-0.45287886,0.15333333333333332,0.9499286224125625,4.0,-0.18850223511888833,-0.04951970113055148,-0.18058927383472162,0.4775068082817168
2638030,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,6,-0.40600127,0.12628726287262873,0.950020202020202,4.0,-0.15597419705584512,-0.05214408572873592,-0.1512978171925244,0.5443018330892233
3509524,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,7,0.79656804,0.46352201257861636,0.9499540863177227,4.0,-0.10217895614515254,-0.04677587476418204,-0.10217895614515254,0.34167626999190126
3997827,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,8,-0.78812003,0.4186666666666667,0.9499821364773133,4.0,-0.14891453517499423,-0.051334743470091905,-0.13751083035151473,0.4603966893320313
4018081,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,9,-1.0055735,0.07777777777777778,0.9500397772474145,4.0,-0.1400187489109438,-0.0528221875481804,-0.13989922889478867,0.4994537671126159
4314139,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,10,-0.08568206,0.5551282051282052,0.950097238428627,4.0,-0.1582745444001841,-0.05279386795531154,-0.15214293170866447,0.5035420361634801
4426783,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,11,-0.6099465,0.1595238095238095,0.9500916758342501,4.0,-0.14442011179384034,-0.05285663798806945,-0.13526421741239109,0.4739155044894244
46343,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,12,0.50407416,0.4583333333333333,0.9499644633972992,4.0,-0.14148128080293637,-0.05177891504821004,-0.14146928492513322,0.4859254220240393
5132496,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,13,-1.3028495,0.13131313131313133,0.9499613302397525,4.0,-0.11212649013665518,-0.048614538640685184,-0.11197244449251362,0.35665319322333
5383425,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,14,0.42593145,0.45,0.949982174688057,4.0,-0.08101669797117451,-0.044752503331928976,-0.08101669797117451,0.29844901400751084
5498603,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,15,-0.18961328,0.3632398753894081,0.9500261643118786,4.0,-0.1799318639233665,-0.05054097081364335,-0.17877409650983037,0.5233124892281712
5797046,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,16,-0.82859325,0.08016877637130802,0.9499417927823051,4.0,-0.1515475964397043,-0.051060063767533984,-0.13883708792251948,0.4454031132508681
6220552,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,17,-1.1743456,0.14743589743589744,0.9500369549150037,4.0,-0.182217310394552,-0.05120941665871441,-0.17331936527816133,0.5822878305208166
759667,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,18,-0.07186781,0.37407407407407406,0.9500730994152047,4.0,-0.1027340399801139,-0.047625397330754826,-0.10271241375202317,0.3340638129882708
781756,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,19,-1.1338265,0.3236947791164659,0.949981419546637,4.0,-0.20137840523253528,-0.049956237015631844,-0.1915377608042771,0.6023316897665103
8000685,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,20,-0.32818538,0.17474747474747473,0.95,4.0,-0.14415213534384744,-0.04893819025400187,-0.13912577000226328,0.410737605762308
8173033,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,21,0.15654773,0.7551724137931034,0.95,4.0,-0.1522230273558561,-0.052877012491158844,-0.14691983321109556,0.4854756906662178
8258170,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,22,0.021319509,0.2887719298245614,0.9500380517503805,4.0,-0.09923815795204244,-0.04598115776518426,-0.09923815795204244,0.3494976549328081
844359,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,23,-0.63773894,0.33369175627240144,0.9500829187396351,4.0,-0.15423836419141448,-0.052770075020913514,-0.15215856562012386,0.549518796102031
8530312,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,24,-1.1874094,0.17136752136752137,0.9499424626006905,4.0,-0.1827037487926852,-0.05051101548187142,-0.1773170835285846,0.5980190204580116
8686948,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,25,-0.30955178,0.5081632653061224,0.9499264164827079,4.0,-0.14633509146273166,-0.05251241768465531,-0.14284111684442558,0.47896583253959296
8692923,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,26,-0.68715453,0.05242424242424242,0.949979797979798,4.0,-0.152742525993678,-0.052601830490181134,-0.14463565090662417,0.5195474056245655
9106476,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,27,-0.65812963,0.1681992337164751,0.9499045437189767,4.0,-0.1324524189352264,-0.05076565896409079,-0.1287374733752485,0.41680184822081756
9618981,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,28,-0.59443283,0.062411347517730496,0.949921568627451,4.0,-0.11737638580704565,-0.05064713143944849,-0.11602863126661232,0.3844288171514159
9961348,41c37ac25c15e31d9602e6377da14e88f13c378e,1743187529,29,-1.2185031,0.33380952380952383,0.9500256805341551,4.0,-0.15668491421035524,-0.05306090209145561,-0.15404286155249824,0.559581819547514
